Products,Prod_id,Cust_id,Sales,Order_Quan,Profit,Shipping_Cost,Product_Base_Margin,Customer_Segment
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_63,155.54,50,15.66,1.35,0.39,SMALL BUSINESS
PAPER,Prod_6,Cust_35,60.64,31,-66.62,2.58,0.37,CORPORATE
PAPER,Prod_6,Cust_35,78.51,36,-10.06,1.38,0.36,CORPORATE
PAPER,Prod_6,Cust_1135,99.65,37,27,0.8,0.36,CORPORATE
PAPER,Prod_6,Cust_1601,19.36,7,-1,0.7,0.36,CORPORATE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_1601,40.85,16,6.46,0.8,0.37,CORPORATE
PAPER,Prod_6,Cust_168,140.69,31,-14.54,0.7,0.37,CORPORATE
PAPER,Prod_6,Cust_146,6688.66,21,2648.08,19.99,0.37,CORPORATE
PENS & ART SUPPLIES,Prod_13,Cust_146,199.58,42,46.31,1.49,0.56,CORPORATE
PAPER,Prod_6,Cust_1353,110.67,19,-43.75,4.92,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1678,240.6,45,3.45,2.99,0.36,HOME OFFICE
PAPER,Prod_6,Cust_796,214.62,49,-151.42,5.41,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1012,59.08,22,-2.61,1.49,0.37,CORPORATE
PAPER,Prod_6,Cust_1012,70.13,13,21.51,0.95,0.37,CORPORATE
PAPER,Prod_6,Cust_1012,76.81,13,-55.77,7.54,0.36,CORPORATE
PAPER,Prod_6,Cust_412,342.27,8,-17.68,19.99,0.37,CORPORATE
PAPER,Prod_6,Cust_1745,185.61,29,-47.12,5.46,0.4,SMALL BUSINESS
PAPER,Prod_6,Cust_1747,146.71,36,38.63,1.3,0.37,CORPORATE
PAPER,Prod_6,Cust_1629,57.22,8,-27.72,6.6,0.39,CORPORATE
PAPER,Prod_6,Cust_1371,63.61,6,7.59,2.06,0.36,CORPORATE
PAPER,Prod_6,Cust_177,236.99,35,-95.79,6.74,0.4,HOME OFFICE
PAPER,Prod_6,Cust_132,881.84,43,153.8,9.03,0.37,CORPORATE
PAPER,Prod_6,Cust_451,163.62,13,16.34,5.43,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_451,34.23,3,-9.5,7.86,0.36,SMALL BUSINESS
PAPER,Prod_6,Cust_995,47.11,18,-95.42,7.09,0.37,HOME OFFICE
PAPER,Prod_6,Cust_995,199.94,28,-147.27,9.54,0.38,HOME OFFICE
PAPER,Prod_6,Cust_594,1299.91,44,439.26,5.76,0.39,CORPORATE
VENDING MACHINE,Prod_1,Cust_594,188.44,6,17.57,5.76,0.81,CORPORATE
PAPER,Prod_6,Cust_291,299.85,44,-260.8,10.05,0.39,CORPORATE
PAPER,Prod_6,Cust_181,441.99,23,32.36,8.68,0.4,HOME OFFICE
PAPER,Prod_6,Cust_181,3676.96,38,1233.45,19.99,0.38,HOME OFFICE
PAPER,Prod_6,Cust_1647,78.72,10,-22.36,5.83,0.38,CORPORATE
PAPER,Prod_6,Cust_395,343,50,-76.94,5.66,0.38,CORPORATE
PAPER,Prod_6,Cust_395,576.89,22,175.03,5.58,0.36,CORPORATE
PAPER,Prod_6,Cust_1717,490.87,50,190.93,2.03,0.36,HOME OFFICE
PAPER,Prod_6,Cust_1717,137.97,20,-123.94,10.05,0.36,HOME OFFICE
PAPER,Prod_6,Cust_799,48.91,11,-7.04,2.97,0.36,CORPORATE
PAPER,Prod_6,Cust_799,644.4,27,-97.28,16.87,0.37,CORPORATE
PAPER,Prod_6,Cust_1221,845.32,21,33.67,19.99,0.37,HOME OFFICE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_1221,1072.36,36,440.48,4.86,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1202,30.47,4,-10.7,5.15,0.38,SMALL BUSINESS
PAPER,Prod_6,Cust_488,393.31,20,84.3,5.86,0.36,SMALL BUSINESS
PAPER,Prod_6,Cust_178,199.8,31,-96.59,6.81,0.4,CORPORATE
PAPER,Prod_6,Cust_145,377.83,41,122.06,2.15,0.37,CORPORATE
PAPER,Prod_6,Cust_145,980.95,41,234.68,8.18,0.37,CORPORATE
PAPER,Prod_6,Cust_145,141.4,26,34.48,1.46,0.4,CORPORATE
PAPER,Prod_6,Cust_678,290.68,42,-93.5,6.18,0.37,CORPORATE
PAPER,Prod_6,Cust_1137,270.23,12,52.02,5.47,0.36,HOME OFFICE
PAPER,Prod_6,Cust_1137,108.87,4,-39.92,16.87,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1137,265.61,41,-147.82,7.37,0.36,HOME OFFICE
PAPER,Prod_6,Cust_1141,211.94,31,-56.39,5.84,0.35,SMALL BUSINESS
PAPER,Prod_6,Cust_1141,72.67,15,-62.37,6.72,0.4,SMALL BUSINESS
PAPER,Prod_6,Cust_1651,94.32,14,-66.87,8.19,0.38,CORPORATE
PAPER,Prod_6,Cust_408,146.63,19,-30.06,6.22,0.39,CORPORATE
LABELS,Prod_12,Cust_408,114.94,17,-102.24,9.68,0.66,CORPORATE
PAPER,Prod_6,Cust_534,223.64,39,-90.26,5.35,0.38,CORPORATE
PAPER,Prod_6,Cust_1542,1666,32,742.96,4.85,0.36,CORPORATE
PAPER,Prod_6,Cust_1318,453.98,40,67.6,5.01,0.37,CORPORATE
PAPER,Prod_6,Cust_1318,128.86,21,-42.81,5.16,0.37,CORPORATE
PAPER,Prod_6,Cust_1323,180.46,27,-57.62,5.94,0.38,SMALL BUSINESS
PAPER,Prod_6,Cust_1323,1714.02,46,741.27,5.08,0.37,SMALL BUSINESS
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_1323,176.77,32,-41.6,4.72,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_1404,168.31,22,46.49,1.69,0.37,CORPORATE
PAPER,Prod_6,Cust_1404,214.19,41,-66.06,4.7,0.39,CORPORATE
LABELS,Prod_12,Cust_1404,710.33,38,62.53,9.03,0.38,CORPORATE
PAPER,Prod_6,Cust_501,163.62,13,16.34,5.43,0.36,CORPORATE
PAPER,Prod_6,Cust_501,34.23,3,-9.5,7.86,0.38,CORPORATE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_501,47.11,18,-95.42,7.09,0.4,CORPORATE
PAPER,Prod_6,Cust_501,199.94,28,-147.27,9.54,0.37,CORPORATE
PAPER,Prod_6,Cust_501,1299.91,44,439.26,5.76,0.36,CORPORATE
PAPER,Prod_6,Cust_1232,188.44,6,17.57,5.76,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_1232,299.85,44,-260.8,10.05,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_50,441.99,23,32.36,8.68,0.38,CORPORATE
PAPER,Prod_6,Cust_1000,3676.96,38,1233.45,19.99,0.37,CORPORATE
PAPER,Prod_6,Cust_1000,78.72,10,-22.36,5.83,0.36,CORPORATE
PAPER,Prod_6,Cust_1000,343,50,-76.94,5.66,0.36,CORPORATE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_1000,576.89,22,175.03,5.58,0.39,CORPORATE
PAPER,Prod_6,Cust_1331,490.87,50,190.93,2.03,0.4,CORPORATE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_1331,137.97,20,-123.94,10.05,0.4,CORPORATE
PAPER,Prod_6,Cust_1331,48.91,11,-7.04,2.97,0.36,CORPORATE
PAPER,Prod_6,Cust_1331,644.4,27,-97.28,16.87,0.37,CORPORATE
PAPER,Prod_6,Cust_478,845.32,21,33.67,19.99,0.38,CORPORATE
PAPER,Prod_6,Cust_478,151.09,29,4.59,3.01,0.37,CORPORATE
PAPER,Prod_6,Cust_478,66.83,13,23.16,0.8,0.36,CORPORATE
PAPER,Prod_6,Cust_478,294.13,43,-123.07,6.92,0.37,CORPORATE
PAPER,Prod_6,Cust_479,32.69,5,-24.43,7.54,0.38,HOME OFFICE
PAPER,Prod_6,Cust_1131,1311.68,31,230.37,17.48,0.4,CORPORATE
LABELS,Prod_12,Cust_1131,109.86,24,-63.87,5.17,0.77,CORPORATE
PAPER,Prod_6,Cust_450,272.01,40,-42.45,5.14,0.36,SMALL BUSINESS
PAPER,Prod_6,Cust_801,270.84,41,-78.02,5.86,0.4,HOME OFFICE
PAPER,Prod_6,Cust_932,266.36,42,-191.28,8.19,0.37,HOME OFFICE
PENS & ART SUPPLIES,Prod_13,Cust_932,100.4,20,11.94,2.04,0.44,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_932,129.62,22,4.41,3.04,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1558,2063.42,38,989.95,5.15,0.37,CORPORATE
PAPER,Prod_6,Cust_1558,147.46,39,14.13,1.93,0.36,CORPORATE
PAPER,Prod_6,Cust_1013,85.56,15,-41.58,5.66,0.39,SMALL BUSINESS
PAPER,Prod_6,Cust_1760,318.14,25,49.67,5.09,0.37,CORPORATE
PAPER,Prod_6,Cust_1760,573.97,29,55.82,9.54,0.39,CORPORATE
PAPER,Prod_6,Cust_1057,186.67,9,2.06,8.68,0.36,CORPORATE
PAPER,Prod_6,Cust_948,1016.26,44,337.97,5.47,0.37,CORPORATE
PAPER,Prod_6,Cust_948,1734.31,32,647.25,10.75,0.37,CORPORATE
PAPER,Prod_6,Cust_963,53.72,6,2.82,2.01,0.36,HOME OFFICE
PAPER,Prod_6,Cust_465,102.99,16,-102.17,9.68,0.4,HOME OFFICE
PAPER,Prod_6,Cust_1321,194.02,40,80.35,0.8,0.36,HOME OFFICE
PAPER,Prod_6,Cust_1321,229.51,34,-189.33,9.54,0.39,HOME OFFICE
PAPER,Prod_6,Cust_1321,200.08,36,-62.97,5.06,0.37,HOME OFFICE
PAPER,Prod_6,Cust_656,57.15,8,-33.95,7.5,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1121,1305.85,40,65.01,17.08,0.39,HOME OFFICE
PAPER,Prod_6,Cust_1355,692.15,37,150.38,5.97,0.36,CORPORATE
PAPER,Prod_6,Cust_1355,109.37,11,25.96,1.79,0.37,CORPORATE
LABELS,Prod_12,Cust_1355,355.97,7,-4.46,19.99,0.38,CORPORATE
PAPER,Prod_6,Cust_1614,277.88,36,-64.41,6.16,0.35,CORPORATE
PAPER,Prod_6,Cust_1514,216.77,33,-55.11,5.27,0.4,CORPORATE
PAPER,Prod_6,Cust_1055,142.94,17,-129.56,11.51,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_520,434.11,37,24.85,5.63,0.37,SMALL BUSINESS
LABELS,Prod_12,Cust_520,762.2,50,16.57,8.4,0.39,SMALL BUSINESS
PAPER,Prod_6,Cust_1239,1876.09,42,809.74,2.99,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1626,110,3,-24.43,11.63,0.39,CORPORATE
PAPER,Prod_6,Cust_1206,281.17,38,-78.37,6.05,0.37,CORPORATE
PAPER,Prod_6,Cust_1400,74.25,17,-56.17,5.26,0.4,SMALL BUSINESS
PAPER,Prod_6,Cust_1400,161.8,44,21.34,1.49,0.36,SMALL BUSINESS
PAPER,Prod_6,Cust_1400,158.97,39,-30.27,2.99,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_1806,18.7,3,-14.69,5.83,0.38,SMALL BUSINESS
PAPER,Prod_6,Cust_994,3982.21,23,1413.94,19.99,0.36,CORPORATE
PAPER,Prod_6,Cust_530,1935.25,29,652.19,11.55,0.38,CORPORATE
PAPER,Prod_6,Cust_61,2168.05,5,416.02,19.99,0.36,CORPORATE
PAPER,Prod_6,Cust_184,86.47,17,-9.35,2.99,0.37,CORPORATE
PAPER,Prod_6,Cust_1062,8038.08,50,2821.41,19.99,0.39,CORPORATE
PAPER,Prod_6,Cust_1062,124.78,33,-122.67,5.26,0.37,CORPORATE
PAPER,Prod_6,Cust_1414,33.44,4,-6.88,2.87,0.4,CORPORATE
PAPER,Prod_6,Cust_1156,147.02,29,-77.03,5.49,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1047,313.52,48,-254.68,9.17,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_1319,1662.33,32,783.84,5.81,0.36,HOME OFFICE
PAPER,Prod_6,Cust_1319,692.73,16,94.97,17.48,0.36,HOME OFFICE
PAPER,Prod_6,Cust_448,145.93,27,-113.32,7.44,0.38,CORPORATE
ENVELOPES,Prod_9,Cust_390,123.76,12,32.44,2.27,0.38,CORPORATE
PAPER,Prod_6,Cust_345,135.02,20,-60.69,6.74,0.4,SMALL BUSINESS
PAPER,Prod_6,Cust_312,259.72,27,78.05,2.06,0.36,CORPORATE
PAPER,Prod_6,Cust_324,345.69,22,143.23,1.97,0.36,SMALL BUSINESS
PAPER,Prod_6,Cust_1261,593.73,15,108.01,13.26,0.36,CORPORATE
PAPER,Prod_6,Cust_1261,277.58,39,-276.88,11.15,0.38,CORPORATE
PAPER,Prod_6,Cust_1261,204.49,30,-142.3,8.73,0.4,CORPORATE
PAPER,Prod_6,Cust_297,49.55,6,-20.33,7.64,0.37,CORPORATE
PAPER,Prod_6,Cust_1168,295.37,50,-97.23,5.46,0.37,CORPORATE
PAPER,Prod_6,Cust_996,176.1,27,-75.71,6.18,0.37,CORPORATE
PAPER,Prod_6,Cust_1007,246.3,38,-67.49,5.79,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_1007,238.34,50,-7.36,3.01,0.39,SMALL BUSINESS
PAPER,Prod_6,Cust_1007,1072.36,36,440.48,4.86,0.36,SMALL BUSINESS
PAPER,Prod_6,Cust_1700,30.47,4,-10.7,5.15,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_937,393.31,20,84.3,5.86,0.4,SMALL BUSINESS
PAPER,Prod_6,Cust_1329,199.8,31,-96.59,6.81,0.37,CORPORATE
PAPER,Prod_6,Cust_1329,377.83,41,122.06,2.15,0.38,CORPORATE
PAPER,Prod_6,Cust_542,240.14,36,57.78,2,0.36,CORPORATE
PAPER,Prod_6,Cust_542,980.95,41,234.68,8.18,0.38,CORPORATE
PAPER,Prod_6,Cust_471,792.8,44,26.27,9.54,0.38,CORPORATE
PAPER,Prod_6,Cust_467,257.75,48,-66.26,4.75,0.37,HOME OFFICE
PAPER,Prod_6,Cust_467,216.08,32,-84.33,6.65,0.35,HOME OFFICE
PAPER,Prod_6,Cust_556,79.53,16,-48.55,5.49,0.37,HOME OFFICE
PAPER,Prod_6,Cust_736,161.72,25,-121.18,8.4,0.37,CORPORATE
PAPER,Prod_6,Cust_1520,72.08,16,-54.75,5.68,0.4,CORPORATE
PAPER,Prod_6,Cust_44,258.54,37,-116.37,7.3,0.37,HOME OFFICE
PAPER,Prod_6,Cust_44,245.55,45,-227.25,8.16,0.38,HOME OFFICE
PAPER,Prod_6,Cust_1238,1911.69,34,939.43,5.15,0.39,CORPORATE
PAPER,Prod_6,Cust_205,122.09,25,14.11,2.04,0.37,CORPORATE
PAPER,Prod_6,Cust_172,5.68,1,-1.82,0.88,0.39,CORPORATE
PAPER,Prod_6,Cust_171,76.36,11,-58.4,8.74,0.38,CORPORATE
VENDING MACHINE,Prod_1,Cust_171,236.89,42,-125.29,6.26,0.66,CORPORATE
PAPER,Prod_6,Cust_147,262.87,50,-166.29,6.26,0.36,CORPORATE
PAPER,Prod_6,Cust_147,163.36,24,-65.54,6.6,0.39,CORPORATE
PAPER,Prod_6,Cust_147,75.26,9,-17.24,5.83,0.36,CORPORATE
PAPER,Prod_6,Cust_147,289.94,44,-102.19,6.22,0.4,CORPORATE
PAPER,Prod_6,Cust_1660,542.11,25,-14.76,11.54,0.37,CORPORATE
PAPER,Prod_6,Cust_1513,10.43,2,-4.72,0.8,0.37,CORPORATE
PAPER,Prod_6,Cust_1513,843.15,16,355,5.81,0.37,CORPORATE
PAPER,Prod_6,Cust_396,281.47,47,-190.57,7.37,0.37,CORPORATE
PAPER,Prod_6,Cust_1633,434.77,37,-155.21,11.25,0.37,CORPORATE
PAPER,Prod_6,Cust_863,1119.91,25,434.71,5.79,0.37,CORPORATE
PAPER,Prod_6,Cust_428,566.66,29,60.59,8.68,0.36,HOME OFFICE
PAPER,Prod_6,Cust_1153,371.94,13,106.53,4.86,0.35,CORPORATE
PAPER,Prod_6,Cust_1348,105.48,15,-53.99,7.37,0.4,CORPORATE
PAPER,Prod_6,Cust_257,136.18,22,-43.26,5.46,0.37,CORPORATE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_257,346.06,50,-76.54,5.86,0.36,CORPORATE
PAPER,Prod_6,Cust_276,156.7,29,-76.64,5.57,0.4,CORPORATE
PAPER,Prod_6,Cust_276,33.44,4,-6.88,2.87,0.4,CORPORATE
PAPER,Prod_6,Cust_188,147.02,29,-77.03,5.49,0.38,CORPORATE
PAPER,Prod_6,Cust_1058,313.52,48,-254.68,9.17,0.38,CORPORATE
PAPER,Prod_6,Cust_1325,1662.33,32,783.84,5.81,0.37,CORPORATE
LABELS,Prod_12,Cust_1325,692.73,16,94.97,17.48,0.69,CORPORATE
PAPER,Prod_6,Cust_1571,145.93,27,-113.32,7.44,0.36,CORPORATE
PAPER,Prod_6,Cust_1571,123.76,12,32.44,2.27,0.39,CORPORATE
PAPER,Prod_6,Cust_1545,135.02,20,-60.69,6.74,0.36,HOME OFFICE
PAPER,Prod_6,Cust_1018,23.38,3,-12.19,5.14,0.38,CORPORATE
PAPER,Prod_6,Cust_1018,259.72,27,78.05,2.06,0.4,CORPORATE
PAPER,Prod_6,Cust_1144,345.69,22,143.23,1.97,0.38,CORPORATE
PAPER,Prod_6,Cust_1144,593.73,15,108.01,13.26,0.38,CORPORATE
PAPER,Prod_6,Cust_1508,112.81,16,-85.23,9.17,0.37,HOME OFFICE
PAPER,Prod_6,Cust_607,277.58,39,-276.88,11.15,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1085,204.49,30,-142.3,8.73,0.37,HOME OFFICE
LABELS,Prod_12,Cust_1085,49.55,6,-20.33,7.64,0.48,HOME OFFICE
PAPER,Prod_6,Cust_1217,295.37,50,-97.23,5.46,0.38,CORPORATE
PAPER,Prod_6,Cust_1217,176.1,27,-75.71,6.18,0.39,CORPORATE
PAPER,Prod_6,Cust_1419,60.17,8,-18.24,5.66,0.4,CORPORATE
PAPER,Prod_6,Cust_1419,188.07,27,-101.85,7.86,0.4,CORPORATE
PAPER,Prod_6,Cust_830,128.21,19,-55.13,6.57,0.36,HOME OFFICE
PAPER,Prod_6,Cust_830,233.2,40,74.83,1.46,0.36,HOME OFFICE
PAPER,Prod_6,Cust_1080,245.53,24,83.16,2.27,0.4,HOME OFFICE
PAPER,Prod_6,Cust_1022,1096.17,26,110.78,19.99,0.36,CORPORATE
PAPER,Prod_6,Cust_956,214.19,41,-66.06,4.7,0.36,CORPORATE
COMPUTER PERIPHERALS,Prod_8,Cust_956,14240.76,25,3128.69,24.49,0.52,CORPORATE
PAPER,Prod_6,Cust_406,27875.54,46,-635.69,24.49,0.37,CORPORATE
PAPER,Prod_6,Cust_1790,5964.19,33,988.2,24.49,0.36,CORPORATE
PAPER,Prod_6,Cust_1070,3563.88,11,285.95,11.64,0.37,CORPORATE
PAPER,Prod_6,Cust_993,4242.76,21,340.88,24.49,0.38,CORPORATE
PAPER,Prod_6,Cust_1023,2361.1,5,-1042.71,49,0.36,SMALL BUSINESS
PAPER,Prod_6,Cust_1155,3672.89,1,-3061.82,24.49,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1155,1294.35,3,-1569.06,24.49,0.4,HOME OFFICE
PAPER,Prod_6,Cust_1361,6350.29,10,-735.97,24.49,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1361,1911.69,34,939.43,5.15,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1339,122.09,25,14.11,2.04,0.37,CORPORATE
PAPER,Prod_6,Cust_493,5.68,1,-1.82,0.88,0.38,CORPORATE
PAPER,Prod_6,Cust_1044,76.36,11,-58.4,8.74,0.36,CORPORATE
PAPER,Prod_6,Cust_1044,236.89,42,-125.29,6.26,0.36,CORPORATE
PAPER,Prod_6,Cust_1044,262.87,50,-166.29,6.26,0.4,CORPORATE
PAPER,Prod_6,Cust_1046,75.26,9,-17.24,5.83,0.38,HOME OFFICE
PAPER,Prod_6,Cust_1711,271.34,40,-151.92,7.86,0.37,CORPORATE
PAPER,Prod_6,Cust_1712,290.91,50,-108.19,5.67,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_343,60.17,8,-18.24,5.66,0.4,CORPORATE
PAPER,Prod_6,Cust_1263,188.07,27,-101.85,7.86,0.36,CORPORATE
VENDING MACHINE,Prod_1,Cust_1263,128.21,19,-55.13,6.57,0.57,CORPORATE
PAPER,Prod_6,Cust_1263,233.2,40,74.83,1.46,0.38,CORPORATE
PAPER,Prod_6,Cust_1768,245.53,24,83.16,2.27,0.36,CORPORATE
PAPER,Prod_6,Cust_239,1096.17,26,110.78,19.99,0.37,HOME OFFICE
PAPER,Prod_6,Cust_239,214.19,41,-66.06,4.7,0.4,HOME OFFICE
PAPER,Prod_6,Cust_239,725.8,47,327.45,1.97,0.37,HOME OFFICE
PAPER,Prod_6,Cust_193,304.65,14,24.2,8.32,0.36,HOME OFFICE
PAPER,Prod_6,Cust_201,303.07,44,-238.45,9.68,0.36,SMALL BUSINESS
PAPER,Prod_6,Cust_985,278.07,48,-71.45,4.96,0.36,SMALL BUSINESS
PAPER,Prod_6,Cust_1326,793.85,21,308.53,5.08,0.38,CORPORATE
PAPER,Prod_6,Cust_241,143.29,29,-55.54,4.72,0.36,CORPORATE
PAPER,Prod_6,Cust_282,267.85,44,-65.43,5.15,0.36,CORPORATE
PAPER,Prod_6,Cust_282,18.81,2,-12.83,7.96,0.36,CORPORATE
PAPER,Prod_6,Cust_1370,52.76,10,-49.53,7.44,0.38,CORPORATE
PAPER,Prod_6,Cust_1786,187.13,31,-60.83,5.46,0.36,CORPORATE
PAPER,Prod_6,Cust_1782,294.86,45,-141.12,6.92,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1782,151.09,29,4.59,3.01,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1782,53.29,7,-28.88,7.49,0.39,HOME OFFICE
PAPER,Prod_6,Cust_1782,66.83,13,23.16,0.8,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1782,294.13,43,-123.07,6.92,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1024,32.69,5,-24.43,7.54,0.36,SMALL BUSINESS
RUBBER BANDS,Prod_7,Cust_1024,1311.68,31,230.37,17.48,0.81,SMALL BUSINESS
PAPER,Prod_6,Cust_1024,109.86,24,-63.87,5.17,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_1024,272.01,40,-42.45,5.14,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_955,270.84,41,-78.02,5.86,0.37,CORPORATE
LABELS,Prod_12,Cust_955,266.36,42,-191.28,8.19,0.73,CORPORATE
PAPER,Prod_6,Cust_1734,100.4,20,11.94,2.04,0.36,HOME OFFICE
PAPER,Prod_6,Cust_1681,129.62,22,4.41,3.04,0.36,HOME OFFICE
PAPER,Prod_6,Cust_231,2063.42,38,989.95,5.15,0.4,CORPORATE
PAPER,Prod_6,Cust_231,147.46,39,14.13,1.93,0.36,CORPORATE
PAPER,Prod_6,Cust_192,85.56,15,-41.58,5.66,0.37,HOME OFFICE
PAPER,Prod_6,Cust_570,318.14,25,49.67,5.09,0.38,CORPORATE
PAPER,Prod_6,Cust_572,573.97,29,55.82,9.54,0.36,HOME OFFICE
PAPER,Prod_6,Cust_572,223.79,39,-89.88,5.66,0.4,HOME OFFICE
PAPER,Prod_6,Cust_254,186.67,9,2.06,8.68,0.37,HOME OFFICE
PAPER,Prod_6,Cust_579,1016.26,44,337.97,5.47,0.36,SMALL BUSINESS
PAPER,Prod_6,Cust_579,1734.31,32,647.25,10.75,0.39,SMALL BUSINESS
PAPER,Prod_6,Cust_579,53.72,6,2.82,2.01,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_543,102.99,16,-102.17,9.68,0.36,CORPORATE
PAPER,Prod_6,Cust_1184,194.02,40,80.35,0.8,0.36,CORPORATE
PAPER,Prod_6,Cust_1184,229.51,34,-189.33,9.54,0.38,CORPORATE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_1184,200.08,36,-62.97,5.06,0.36,CORPORATE
PAPER,Prod_6,Cust_970,57.15,8,-33.95,7.5,0.36,SMALL BUSINESS
PAPER,Prod_6,Cust_1349,1305.85,40,65.01,17.08,0.38,CORPORATE
VENDING MACHINE,Prod_1,Cust_1349,692.15,37,150.38,5.97,0.58,CORPORATE
PAPER,Prod_6,Cust_1026,109.37,11,25.96,1.79,0.4,HOME OFFICE
PAPER,Prod_6,Cust_1431,355.97,7,-4.46,19.99,0.36,CORPORATE
PAPER,Prod_6,Cust_484,70.13,13,21.51,0.95,0.36,CORPORATE
PAPER,Prod_6,Cust_1728,76.81,13,-55.77,7.54,0.38,HOME OFFICE
PAPER,Prod_6,Cust_1715,342.27,8,-17.68,19.99,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1335,185.61,29,-47.12,5.46,0.36,CORPORATE
PAPER,Prod_6,Cust_1335,146.71,36,38.63,1.3,0.37,CORPORATE
PAPER,Prod_6,Cust_438,57.22,8,-27.72,6.6,0.36,CORPORATE
PAPER,Prod_6,Cust_248,63.61,6,7.59,2.06,0.38,CORPORATE
PAPER,Prod_6,Cust_248,236.99,35,-95.79,6.74,0.4,CORPORATE
PAPER,Prod_6,Cust_277,881.84,43,153.8,9.03,0.38,CORPORATE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_277,289.94,44,-102.19,6.22,0.35,CORPORATE
PAPER,Prod_6,Cust_1293,542.11,25,-14.76,11.54,0.37,CORPORATE
PAPER,Prod_6,Cust_1293,10.43,2,-4.72,0.8,0.38,CORPORATE
PAPER,Prod_6,Cust_745,843.15,16,355,5.81,0.36,HOME OFFICE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_821,281.47,47,-190.57,7.37,0.36,HOME OFFICE
PAPER,Prod_6,Cust_979,434.77,37,-155.21,11.25,0.36,CORPORATE
PAPER,Prod_6,Cust_1161,1119.91,25,434.71,5.79,0.38,SMALL BUSINESS
PAPER,Prod_6,Cust_934,566.66,29,60.59,8.68,0.35,CORPORATE
PAPER,Prod_6,Cust_934,371.94,13,106.53,4.86,0.36,CORPORATE
PAPER,Prod_6,Cust_934,105.48,15,-53.99,7.37,0.37,CORPORATE
PAPER,Prod_6,Cust_1360,136.18,22,-43.26,5.46,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1360,346.06,50,-76.54,5.86,0.36,HOME OFFICE
PAPER,Prod_6,Cust_199,156.7,29,-76.64,5.57,0.4,CORPORATE
PAPER,Prod_6,Cust_424,505.08,33,-56.91,10.13,0.37,CORPORATE
PAPER,Prod_6,Cust_1333,141.4,26,34.48,1.46,0.36,CORPORATE
PAPER,Prod_6,Cust_1338,290.68,42,-93.5,6.18,0.37,HOME OFFICE
PAPER,Prod_6,Cust_1338,270.23,12,52.02,5.47,0.36,HOME OFFICE
VENDING MACHINE,Prod_1,Cust_1338,108.87,4,-39.92,16.87,0.58,HOME OFFICE
PAPER,Prod_6,Cust_1408,265.61,41,-147.82,7.37,0.36,CORPORATE
PAPER,Prod_6,Cust_540,211.94,31,-56.39,5.84,0.36,HOME OFFICE
LABELS,Prod_12,Cust_540,72.67,15,-62.37,6.72,0.79,HOME OFFICE
PAPER,Prod_6,Cust_1171,94.32,14,-66.87,8.19,0.36,CORPORATE
PAPER,Prod_6,Cust_1163,146.63,19,-30.06,6.22,0.36,CORPORATE
PAPER,Prod_6,Cust_235,114.94,17,-102.24,9.68,0.36,HOME OFFICE
PAPER,Prod_6,Cust_402,223.64,39,-90.26,5.35,0.37,HOME OFFICE
